,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2007-12-31 23:59:59.999999999,278.27164547999996,-199.6040220942156,-32.24795975187334,278.27164547999996,278.27164547999996,-395.961593819404,-395.961593819404,-395.961593819404,-395.961593819404,-395.961593819404,-395.961593819404,0.0,0.0,0.0,-117.68994833940405
1,2008-06-30 23:59:59.999999999,292.55257177290616,55.304414365177436,207.90969639735476,292.55257177290616,292.55257177290616,-162.8527434291403,-162.8527434291403,-162.8527434291403,-162.8527434291403,-162.8527434291403,-162.8527434291403,0.0,0.0,0.0,129.69982834376586
2,2009-09-30 23:59:59.999999999,328.4118207458513,-122.09025103221377,51.20843067971432,328.4118207458513,328.4118207458513,-364.32719333394186,-364.32719333394186,-364.32719333394186,-364.32719333394186,-364.32719333394186,-364.32719333394186,0.0,0.0,0.0,-35.91537258809058
3,2010-06-30 23:59:59.999999999,349.83321017706487,-61.76258300284431,96.58262027289456,349.83321017706487,349.83321017706487,-330.1496322475797,-330.1496322475797,-330.1496322475797,-330.1496322475797,-330.1496322475797,-330.1496322475797,0.0,0.0,0.0,19.683577929485182
4,2010-09-30 23:59:59.999999999,357.05213994814255,-73.71116249760516,86.06457985049231,357.05213994814255,357.05213994814255,-352.52195322625374,-352.52195322625374,-352.52195322625374,-352.52195322625374,-352.52195322625374,-352.52195322625374,0.0,0.0,0.0,4.5301867218888106
5,2011-06-30 23:59:59.999999999,378.47352937867333,-115.63275145830818,49.08682396937384,378.47352937867333,378.47352937867333,-411.47375880337097,-411.47375880337097,-411.47375880337097,-411.47375880337097,-411.47375880337097,-411.47375880337097,0.0,0.0,0.0,-33.000229424697636
6,2011-12-31 23:59:59.999999999,392.9113889178403,-82.51686952475706,78.59414171445401,392.9113889178403,392.9113889178403,-395.9615938194752,-395.9615938194752,-395.9615938194752,-395.9615938194752,-395.9615938194752,-395.9615938194752,0.0,0.0,0.0,-3.0502049016348565
7,2012-12-31 23:59:59.999999999,421.6301747261656,-70.1308019848487,99.09219772949056,421.6301747261656,421.6301747261656,-407.31836965384224,-407.31836965384224,-407.31836965384224,-407.31836965384224,-407.31836965384224,-407.31836965384224,0.0,0.0,0.0,14.311805072323352
8,2013-12-31 23:59:59.999999999,450.270493895722,-37.021345034480994,120.60143977482652,450.270493895722,450.270493895722,-408.8375300061169,-408.8375300061169,-408.8375300061169,-408.8375300061169,-408.8375300061169,-408.8375300061169,0.0,0.0,0.0,41.432963889605105
9,2017-09-30 23:59:59.999999999,557.691307504767,105.6922484224468,282.10423201518154,557.691307504767,557.691307504767,-364.32719333398876,-364.32719333398876,-364.32719333398876,-364.32719333398876,-364.32719333398876,-364.32719333398876,0.0,0.0,0.0,193.36411417077824
