,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-12-31 23:59:59.999999999,4.938694559999999,-9.714065741513256,4.19859085405799,4.938694559999999,4.938694559999999,-7.74833507144947,-7.74833507144947,-7.74833507144947,-7.74833507144947,-7.74833507144947,-7.74833507144947,0.0,0.0,0.0,-2.809640511449471
1,2001-09-30 23:59:59.999999999,5.838119257535934,-11.271292403874813,2.682807764510124,5.838119257535934,5.838119257535934,-10.431066236346124,-10.431066236346124,-10.431066236346124,-10.431066236346124,-10.431066236346124,-10.431066236346124,0.0,0.0,0.0,-4.592946978810191
2,2002-06-30 23:59:59.999999999,6.73754391942636,-15.288329684312282,-1.5365398772592542,6.73754391942636,6.73754391942636,-15.051167362105781,-15.051167362105781,-15.051167362105781,-15.051167362105781,-15.051167362105781,-15.051167362105781,0.0,0.0,0.0,-8.313623442679422
3,2003-12-31 23:59:59.999999999,8.546277134325525,-9.661030202694036,4.491651916894572,8.546277134325525,8.546277134325525,-10.947644452110223,-10.947644452110223,-10.947644452110223,-10.947644452110223,-10.947644452110223,-10.947644452110223,0.0,0.0,0.0,-2.4013673177846986
4,2004-03-31 23:59:59.999999999,8.846085358974282,-6.861259448167561,6.8693438064730445,8.846085358974282,8.846085358974282,-8.711714918950813,-8.711714918950813,-8.711714918950813,-8.711714918950813,-8.711714918950813,-8.711714918950813,0.0,0.0,0.0,0.13437044002346887
5,2005-09-30 23:59:59.999999999,10.651523859003149,-6.549138769874267,7.3123755005204405,10.651523859003149,10.651523859003149,-10.431066236312756,-10.431066236312756,-10.431066236312756,-10.431066236312756,-10.431066236312756,-10.431066236312756,0.0,0.0,0.0,0.22045762269039315
6,2006-06-30 23:59:59.999999999,11.550948488451542,-10.66532873616173,3.576625712563646,11.550948488451542,11.550948488451542,-15.05116736210491,-15.05116736210491,-15.05116736210491,-15.05116736210491,-15.05116736210491,-15.05116736210491,0.0,0.0,0.0,-3.500218873653367
7,2007-12-31 23:59:59.999999999,13.359681504985112,-4.262773680640567,9.866029409665547,13.359681504985112,13.359681504985112,-10.947644452113025,-10.947644452113025,-10.947644452113025,-10.947644452113025,-10.947644452113025,-10.947644452113025,0.0,0.0,0.0,2.412037052872087
8,2008-09-30 23:59:59.999999999,14.262400788765296,-6.498222571793203,7.791238591784895,14.262400788765296,14.262400788765296,-13.723806835222874,-13.723806835222874,-13.723806835222874,-13.723806835222874,-13.723806835222874,-13.723806835222874,0.0,0.0,0.0,0.5385939535424225
9,2009-09-30 23:59:59.999999999,15.464928396896585,-1.5232140113139105,11.952880883510629,15.464928396896585,15.464928396896585,-10.43106623628567,-10.43106623628567,-10.43106623628567,-10.43106623628567,-10.43106623628567,-10.43106623628567,0.0,0.0,0.0,5.033862160610916
