,ds,0,7,10
0,2016-12-31 23:59:59.999999999,24.10.2019,141.8,6
1,2017-12-31 23:59:59.999999999,17.04.2018,172.4,12
2,2018-12-31 23:59:59.999999999,28.02.2019,176.2,16
3,2019-12-31 23:59:59.999999999,27.02.2020,212.0,"18,7"
4,2020-12-31 23:59:59.999999999,04.03.2021,202.4,"18,7"
