,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-06-30 23:59:59.999999999,-74.90830507,-180.38903849314215,276.30172585065225,-74.90830507,-74.90830507,113.31282691561442,113.31282691561442,113.31282691561442,113.31282691561442,113.31282691561442,113.31282691561442,0.0,0.0,0.0,38.404521845614426
1,2016-06-30 23:59:59.999999999,-1.3389219749281143,-257.11086940923644,193.7405381318314,-1.3389219749281143,-1.3389219749281143,-27.010435018040063,-27.010435018040063,-27.010435018040063,-27.010435018040063,-27.010435018040063,-27.010435018040063,0.0,0.0,0.0,-28.349356992968175
2,2017-06-30 23:59:59.999999999,72.0294518579825,-139.3810274568616,331.8189180056235,72.0294518579825,72.0294518579825,19.605048298191438,19.605048298191438,19.605048298191438,19.605048298191438,19.605048298191438,19.605048298191438,0.0,0.0,0.0,91.63450015617393
3,2017-12-31 23:59:59.999999999,109.01515263182247,-91.6591590242431,378.5819906200853,109.01515263182247,109.01515263182247,31.341915106968397,31.341915106968397,31.341915106968397,31.341915106968397,31.341915106968397,31.341915106968397,0.0,0.0,0.0,140.35706773879087
4,2018-06-30 23:59:59.999999999,145.39782567745402,-13.019741706109642,449.46030667820696,145.39782567745402,145.39782567745402,66.397241917279,66.397241917279,66.397241917279,66.397241917279,66.397241917279,66.397241917279,0.0,0.0,0.0,211.79506759473304
5,2018-12-31 23:59:59.999999999,182.3835264459333,-31.959197775258595,439.54552125435396,182.3835264459333,182.3835264459333,26.871137642514725,26.871137642514725,26.871137642514725,26.871137642514725,26.871137642514725,26.871137642514725,0.0,0.0,0.0,209.25466408844804
6,2019-06-30 23:59:59.999999999,218.76619948368264,99.22825633317795,562.7073222721201,218.76619948368264,218.76619948368264,113.31282691543367,113.31282691543367,113.31282691543367,113.31282691543367,113.31282691543367,113.31282691543367,0.0,0.0,0.0,332.0790263991163
7,2019-12-31 23:59:59.999999999,255.75190024232606,41.86752404291664,504.28777703369553,255.75190024232606,255.75190024232606,20.791144758238417,20.791144758238417,20.791144758238417,20.791144758238417,20.791144758238417,20.791144758238417,0.0,0.0,0.0,276.54304500056446
8,2020-06-30 23:59:59.999999999,292.33558252020447,17.215661997722954,498.7950554762366,292.33558252020447,292.33558252020447,-27.010435017772014,-27.010435017772014,-27.010435017772014,-27.010435017772014,-27.010435017772014,-27.010435017772014,0.0,0.0,0.0,265.32514750243246
9,2020-12-31 23:59:59.999999999,329.32128327955775,122.48786505091404,585.0398415544537,329.32128327955775,329.32128327955775,34.20315532502007,34.20315532502007,34.20315532502007,34.20315532502007,34.20315532502007,34.20315532502007,0.0,0.0,0.0,363.5244386045778
10,2021-06-30 23:59:59.999999999,365.7039563091389,152.209437499924,604.985732900437,365.7039563091389,365.7039563091389,19.605048298085304,19.605048298085304,19.605048298085304,19.605048298085304,19.605048298085304,19.605048298085304,0.0,0.0,0.0,385.3090046072242
11,2023-06-30 23:59:59.999999999,512.440703887008,377.60928292506406,850.5648580404463,512.440703887008,512.440703887008,113.31282691545485,113.31282691545485,113.31282691545485,113.31282691545485,113.31282691545485,113.31282691545485,0.0,0.0,0.0,625.7535308024628
12,2023-09-30 23:59:59.999999999,530.9335542666847,-38.2377320823746,416.8619946334268,530.9335542254456,530.9335543064506,-328.34217113477854,-328.34217113477854,-328.34217113477854,-328.34217113477854,-328.34217113477854,-328.34217113477854,0.0,0.0,0.0,202.59138313190618
13,2023-12-31 23:59:59.999999999,549.4264046463612,342.81157979922034,819.5645909465529,549.4264044225746,549.4264048944806,20.79114475813504,20.79114475813504,20.79114475813504,20.79114475813504,20.79114475813504,20.79114475813504,0.0,0.0,0.0,570.2175494044963
14,2024-03-31 23:59:59.999999999,567.7182457827806,472.36467662836344,918.1300514066753,567.7182452780622,567.7182463286605,119.25916474524898,119.25916474524898,119.25916474524898,119.25916474524898,119.25916474524898,119.25916474524898,0.0,0.0,0.0,686.9774105280296
15,2024-06-30 23:59:59.999999999,586.0100869191998,322.4084123675887,778.1833299914679,586.0100860164098,586.0100878153582,-27.01043501816258,-27.01043501816258,-27.01043501816258,-27.01043501816258,-27.01043501816258,-27.01043501816258,0.0,0.0,0.0,558.9996519010373
16,2024-09-30 23:59:59.999999999,604.5029372988765,110.80946582791249,573.7098470889594,604.5029359231456,604.5029386903481,-268.08235815183883,-268.08235815183883,-268.08235815183883,-268.08235815183883,-268.08235815183883,-268.08235815183883,0.0,0.0,0.0,336.4205791470377
17,2024-12-31 23:59:59.999999999,622.9957876785531,426.01423420145863,885.5390053910081,622.9957859624982,622.9957895914567,34.203155324909964,34.203155324909964,34.203155324909964,34.203155324909964,34.203155324909964,34.203155324909964,0.0,0.0,0.0,657.1989430034631
18,2025-03-31 23:59:59.999999999,641.0866195717151,545.5719259902203,979.4994199050004,641.0866174328751,641.0866220103974,131.93386382251106,131.93386382251106,131.93386382251106,131.93386382251106,131.93386382251106,131.93386382251106,0.0,0.0,0.0,773.0204833942262
19,2025-06-30 23:59:59.999999999,659.3784607081344,437.21899091964366,905.7078489302669,659.3784579592106,659.3784636309776,19.6050482981276,19.6050482981276,19.6050482981276,19.6050482981276,19.6050482981276,19.6050482981276,0.0,0.0,0.0,678.983509006262
