,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-06-30 23:59:59.999999999,-229.747756,86.37319805585133,240.19452784690208,-229.747756,-229.747756,392.65660417439824,392.65660417439824,392.65660417439824,392.65660417439824,392.65660417439824,392.65660417439824,0.0,0.0,0.0,162.90884817439823
1,2015-09-30 23:59:59.999999999,-224.3824477797811,88.79622420375418,262.773425329432,-224.3824477797811,-224.3824477797811,402.46570253534793,402.46570253534793,402.46570253534793,402.46570253534793,402.46570253534793,402.46570253534793,0.0,0.0,0.0,178.08325475556683
2,2015-12-31 23:59:59.999999999,-219.01713955912973,5.539366958025282,165.82629942522618,-219.01713955912973,-219.01713955912973,304.82020103839045,304.82020103839045,304.82020103839045,304.82020103839045,304.82020103839045,304.82020103839045,0.0,0.0,0.0,85.80306147926072
3,2016-03-31 23:59:59.999999999,-213.71014990583348,-107.10754912136278,63.28799638083227,-213.71014990583348,-213.71014990583348,188.49204458066941,188.49204458066941,188.49204458066941,188.49204458066941,188.49204458066941,188.49204458066941,0.0,0.0,0.0,-25.21810532516406
4,2016-06-30 23:59:59.999999999,-208.40316025311225,-75.60016713133885,86.85820573439675,-208.40316025311225,-208.40316025311225,214.51942761369685,214.51942761369685,214.51942761369685,214.51942761369685,214.51942761369685,214.51942761369685,0.0,0.0,0.0,6.116267360584601
5,2016-09-30 23:59:59.999999999,-203.03785203267236,-42.09887709822773,121.70186108392004,-203.03785203267236,-203.03785203267236,244.98926758656697,244.98926758656697,244.98926758656697,244.98926758656697,244.98926758656697,244.98926758656697,0.0,0.0,0.0,41.951415553894606
6,2016-12-31 23:59:59.999999999,-197.67254381168584,12.635138996627921,169.5105572817774,-197.67254381168584,-197.67254381168584,293.6524295672918,293.6524295672918,293.6524295672918,293.6524295672918,293.6524295672918,293.6524295672918,0.0,0.0,0.0,95.97988575560595
7,2017-03-31 23:59:59.999999999,-192.4238727257604,-24.708668212658807,147.41163604299325,-192.4238727257604,-192.4238727257604,249.79705710633985,249.79705710633985,249.79705710633985,249.79705710633985,249.79705710633985,249.79705710633985,0.0,0.0,0.0,57.37318438057946
8,2017-06-30 23:59:59.999999999,-187.1168830722135,7.020103716523526,175.54379177338674,-187.1168830722135,-187.1168830722135,276.4390249247067,276.4390249247067,276.4390249247067,276.4390249247067,276.4390249247067,276.4390249247067,0.0,0.0,0.0,89.32214185249319
9,2017-09-30 23:59:59.999999999,-181.75157485132175,36.12319524834974,192.34766352848789,-181.75157485132175,-181.75157485132175,295.876310398306,295.876310398306,295.876310398306,295.876310398306,295.876310398306,295.876310398306,0.0,0.0,0.0,114.12473554698423
10,2017-12-31 23:59:59.999999999,-176.38626663078136,43.00566961518481,206.47874057918204,-176.38626663078136,-176.38626663078136,301.1418446411881,301.1418446411881,301.1418446411881,301.1418446411881,301.1418446411881,301.1418446411881,0.0,0.0,0.0,124.75557801040671
11,2018-03-31 23:59:59.999999999,-171.13759554626785,60.68911307405649,224.64101903570747,-171.13759554626785,-171.13759554626785,312.7091722418351,312.7091722418351,312.7091722418351,312.7091722418351,312.7091722418351,312.7091722418351,0.0,0.0,0.0,141.57157669556727
12,2018-06-30 23:59:59.999999999,-165.83060589435416,87.03643505423902,248.6222244459208,-165.83060589435416,-165.83060589435416,335.83301011861363,335.83301011861363,335.83301011861363,335.83301011861363,335.83301011861363,335.83301011861363,0.0,0.0,0.0,170.00240422425946
