,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-03-31 23:59:59.999999999,-175.98845,48.172710261491346,192.1090564991739,-175.98845,-175.98845,298.04358544604827,298.04358544604827,298.04358544604827,298.04358544604827,298.04358544604827,298.04358544604827,0.0,0.0,0.0,122.05513544604827
1,2015-06-30 23:59:59.999999999,-171.85784492864252,45.40401368354582,201.70350176899368,-171.85784492864252,-171.85784492864252,298.0364826335691,298.0364826335691,298.0364826335691,298.0364826335691,298.0364826335691,298.0364826335691,0.0,0.0,0.0,126.17863770492659
2,2015-09-30 23:59:59.999999999,-167.6818486051164,96.8981766651577,235.7209285575635,-167.6818486051164,-167.6818486051164,333.9529507918271,333.9529507918271,333.9529507918271,333.9529507918271,333.9529507918271,333.9529507918271,0.0,0.0,0.0,166.27110218671072
3,2015-12-31 23:59:59.999999999,-163.5058522731088,-56.98736246719439,89.17598045373602,-163.5058522731088,-163.5058522731088,182.1870971136214,182.1870971136214,182.1870971136214,182.1870971136214,182.1870971136214,182.1870971136214,0.0,0.0,0.0,18.68124484051262
4,2016-03-31 23:59:59.999999999,-159.37524720679664,-84.74609997664375,49.13894703734128,-159.37524720679664,-159.37524720679664,140.72794768805792,140.72794768805792,140.72794768805792,140.72794768805792,140.72794768805792,140.72794768805792,0.0,0.0,0.0,-18.64729951873872
5,2016-06-30 23:59:59.999999999,-155.244642128894,-50.0419983590677,96.96441482502676,-155.244642128894,-155.244642128894,176.3129215815799,176.3129215815799,176.3129215815799,176.3129215815799,176.3129215815799,176.3129215815799,0.0,0.0,0.0,21.068279452685914
6,2016-09-30 23:59:59.999999999,-151.06864578978812,-35.13930294767954,104.85667754844773,-151.06864578978812,-151.06864578978812,187.40566712849485,187.40566712849485,187.40566712849485,187.40566712849485,187.40566712849485,187.40566712849485,0.0,0.0,0.0,36.337021338706734
7,2016-12-31 23:59:59.999999999,-146.89264944706417,25.115302546069522,163.10147410299865,-146.89264944706417,-146.89264944706417,240.89730284539397,240.89730284539397,240.89730284539397,240.89730284539397,240.89730284539397,240.89730284539397,0.0,0.0,0.0,94.0046533983298
8,2017-03-31 23:59:59.999999999,-142.80743562947754,-19.370910595816465,125.08576044017008,-142.80743562947754,-142.80743562947754,193.20068844758217,193.20068844758217,193.20068844758217,193.20068844758217,193.20068844758217,193.20068844758217,0.0,0.0,0.0,50.39325281810463
9,2017-06-30 23:59:59.999999999,-138.67683055106815,13.611476799025139,151.58103960256193,-138.67683055106815,-138.67683055106815,217.86829520870674,217.86829520870674,217.86829520870674,217.86829520870674,217.86829520870674,217.86829520870674,0.0,0.0,0.0,79.19146465763859
10,2017-09-30 23:59:59.999999999,-134.5008341959192,31.749450070517305,169.65128529047934,-134.5008341959192,-134.5008341959192,235.63976222138658,235.63976222138658,235.63976222138658,235.63976222138658,235.63976222138658,235.63976222138658,0.0,0.0,0.0,101.13892802546738
11,2017-12-31 23:59:59.999999999,-130.32483785004197,22.080884847503008,159.06132190701763,-130.32483785004197,-130.32483785004197,223.37240087038168,223.37240087038168,223.37240087038168,223.37240087038168,223.37240087038168,223.37240087038168,0.0,0.0,0.0,93.04756302033971
